,Unnamed: 0,unixepoch,pid,g_x,g_y,Rstep_len,Rstep,x_SG,y_SG,vx_SG,vy_SG,ng_x,ng_y,mov_x,mov_y,m_mov_x,m_mov_y,tL_x,tL_y,validTransition,K
163320,103137,1510231202288.0,13108494,93,58,204,90,92.92848858694144,57.90411041362966,0.914297771503806,0.412266957216983,94.0,58.0,1,0,2,1,1,0,True,1
163325,103138,1510231202387.0,13108494,94,58,204,91,93.77855422563596,58.42019098010695,0.8982108232724222,0.4150039391559619,95.0,58.0,1,0,2,1,1,0,True,1
163330,103139,1510231202486.0,13108494,95,58,204,92,94.68058296102132,58.812224352431656,0.8771422231881301,0.4224006413408986,96.0,59.0,1,1,2,0,1,1,True,5
163337,103140,1510231202586.0,13108494,96,59,204,93,95.6530169788408,59.29622923921743,0.8586420835908994,0.4274371602676877,96.0,60.0,0,1,1,0,0,1,True,2
163343,103141,1510231202685.0,13108494,96,60,204,94,96.51028508747564,59.78118741016003,0.848246036666858,0.4219073364849756,97.0,61.0,1,1,2,0,1,1,True,5
163351,103142,1510231202784.0,13108494,97,61,204,95,97.3258867344126,60.22450790742015,0.8466211928756275,0.4019098097090436,98.0,61.0,1,0,2,1,1,0,True,1
163357,103143,1510231202883.0,13108494,98,61,204,96,98.13027544933328,60.57221575287291,0.854914451253769,0.3723533218492906,99.0,61.0,1,0,2,1,1,0,True,1
163367,103144,1510231203004.0,13108494,99,61,204,97,98.91854706626464,60.87553903780212,0.8702009031699223,0.338516971633371,100.0,61.0,1,0,2,1,1,0,True,1
163372,103145,1510231203103.0,13108494,100,61,204,98,99.80057760545174,61.16121618027574,0.8848300128192379,0.3057499050340071,101.0,61.0,1,0,2,1,1,0,True,1
163381,103146,1510231203203.0,13108494,101,61,204,99,100.76242382847666,61.4775241355892,0.8981967383006411,0.2813854999684062,102.0,62.0,1,1,2,0,1,1,True,5
163389,103147,1510231203302.0,13108494,102,62,204,100,101.69567826828722,61.749043951554846,0.912672145303455,0.2668722275997687,102.0,62.0,0,0,1,1,0,0,True,0
163394,103148,1510231203401.0,13108494,102,62,204,101,102.69161587869264,62.04173407323361,0.9300617200328404,0.2579636976177261,104.0,62.0,1,0,2,1,2,0,False,1
163404,103149,1510231203500.0,13108494,104,62,204,102,103.593457127573,62.27612409077038,0.9489523307105604,0.2536820837620891,104.0,62.0,0,0,1,1,0,0,True,0
163409,103150,1510231203600.0,13108494,104,62,204,103,104.4708482412083,62.5218032010222,0.9703522431508254,0.2456527586279355,105.0,63.0,1,1,2,0,1,1,True,5
163413,103151,1510231203711.0,13108494,105,63,204,104,105.4380665265595,62.7112312579023,0.991725097707735,0.2271932376669658,107.0,63.0,1,0,2,1,2,0,False,1
163420,103152,1510231203810.0,13108494,107,63,204,105,106.47822763036456,62.93500086637265,1.0050638243563068,0.1932708906866043,108.0,63.0,1,0,2,1,1,0,True,1
163426,103153,1510231203909.0,13108494,108,63,204,106,107.47270853074863,63.15668261491241,1.0067267213188738,0.1484737119961681,109.0,64.0,1,1,2,0,1,1,True,5
163436,103154,1510231204008.0,13108494,109,64,204,107,108.45315126514484,63.3418183422483,1.002578549261551,0.0908604599757303,109.0,64.0,0,0,1,1,0,0,True,0
163439,103155,1510231204108.0,13108494,109,64,204,108,109.44872665672364,63.411341763957154,0.9976531277476416,0.0305581164841877,110.0,63.0,1,-1,2,2,1,1,True,8
163444,103156,1510231204207.0,13108494,110,63,204,109,110.50101370992104,63.38646217711496,0.9928146564148947,-0.0232282437982949,111.0,63.0,1,0,2,1,1,0,True,1
163453,103157,1510231204306.0,13108494,111,63,204,110,111.51147177667498,63.29126494730295,0.9839747919637764,-0.0601619704244584,112.0,63.0,1,0,2,1,1,0,True,1
163460,103158,1510231204405.0,13108494,112,63,204,111,112.52271112830364,63.203433623189625,0.9670263324983894,-0.0824467252027818,114.0,63.0,1,0,2,1,2,0,False,1
